student_number,cycle,academic_year,school,grade,test_version,subject,percent_correct
304001000,1,2019,School2,11,1,Math,48.28
304001000,1,2019,School2,11,1,ELA,62.5
306001165,1,2019,School2,9,1,Math,24.14
306001165,1,2019,School2,9,1,ELA,19.79
306001166,1,2019,School2,10,1,Math,55.17
306001166,1,2019,School2,10,1,ELA,54.17
303001003,1,2019,School2,11,0.75,Math,18.18
303001003,1,2019,School2,11,0.75,ELA,31.94
301001526,1,2019,School2,11,1,Math,48.28
301001526,1,2019,School2,11,1,ELA,80.21
301001518,1,2019,School2,10,1,Math,34.48
301001518,1,2019,School2,10,1,ELA,26.04
302001311,1,2019,School2,10,1,Math,51.72
302001311,1,2019,School2,10,1,ELA,40.63
798264619,1,2019,School2,10,1,Math,48.28
798264619,1,2019,School2,10,1,ELA,39.58
798264619,1,2019,School2,10,1,ELA,45.2
303001211,1,2019,School2,11,1,Math,70.69
303001211,1,2019,School2,11,1,ELA,64.58
305002371,1,2019,School2,11,1,Math,65.52
305002371,1,2019,School2,11,1,ELA,85.42
302001267,1,2019,School2,10,1,Math,60.34
302001267,1,2019,School2,10,1,ELA,70.83
302001268,1,2019,School2,10,1,Math,29.31
302001268,1,2019,School2,10,1,ELA,29.17
302001162,1,2019,School2,11,1,Math,37.93
302001162,1,2019,School2,11,1,ELA,29.17
717601957,1,2019,School2,9,1,Math,41.38
717601957,1,2019,School2,9,1,ELA,40.63
301001527,1,2019,School2,11,1,Math,36.21
301001527,1,2019,School2,11,1,ELA,38.54
301001528,1,2019,School2,11,1,Math,63.79
301001528,1,2019,School2,11,1,ELA,68.75
701156636,1,2019,School2,9,1,Math,17.24
701156636,1,2019,School2,9,1,ELA,11.46
3042022001,1,2019,School2,9,1,Math,29.31
3042022001,1,2019,School2,9,1,ELA,16.67
303001300,1,2019,School2,9,1,Math,55.17
303001300,1,2019,School2,9,1,ELA,48.96
303001157,1,2019,School2,11,1,Math,25.86
303001157,1,2019,School2,11,1,ELA,36.46
303001157,1,2019,School2,11,1,Math,80.4
303001157,1,2019,School2,11,1,ELA,10.3
701152718,1,2019,School2,9,1,Math,43.1
701152718,1,2019,School2,9,1,ELA,31.25
303001189,1,2019,School2,11,1,Math,56.9
303001189,1,2019,School2,11,1,ELA,77.08
301001529,1,2019,School2,11,0.5,Math,34.48
301001529,1,2019,School2,11,0.5,ELA,33.33
303001167,1,2019,School2,11,1,Math,37.93
303001167,1,2019,School2,11,1,ELA,35.42
305001479,1,2019,School2,9,1,Math,12.07
305001479,1,2019,School2,9,1,ELA,20.83
3042022003,1,2019,School2,9,1,Math,56.9
3042022003,1,2019,School2,9,1,ELA,40.63
701152525,1,2019,School2,11,1,Math,74.14
701152525,1,2019,School2,11,1,ELA,53.13
701156411,1,2019,School2,9,1,Math,39.66
701156411,1,2019,School2,9,1,ELA,36.46
301001530,1,2019,School2,11,1,Math,51.72
301001530,1,2019,School2,11,1,ELA,71.88
701156650,1,2019,School2,11,1,Math,27.59
701156650,1,2019,School2,11,1,ELA,31.25
302001116,1,2019,School2,11,1,Math,31.03
302001116,1,2019,School2,11,1,ELA,46.88
305001422,1,2019,School2,10,1,Math,25.86
305001422,1,2019,School2,10,1,ELA,30.21
303001302,1,2019,School2,9,1,Math,31.03
303001302,1,2019,School2,9,1,ELA,30.21
303001303,1,2019,School2,9,1,Math,62.07
303001303,1,2019,School2,9,1,ELA,75
302001088,1,2019,School2,11,1,Math,39.66
302001088,1,2019,School2,11,1,ELA,51.04
306001163,1,2019,School2,11,1,Math,75.86
306001163,1,2019,School2,11,1,ELA,85.42
302001097,1,2019,School2,11,1,Math,44.83
302001097,1,2019,School2,11,1,ELA,38.54
3042022004,1,2019,School2,9,1,Math,46.55
3042022004,1,2019,School2,9,1,ELA,37.5
301001531,1,2019,School2,11,1,Math,46.55
301001531,1,2019,School2,11,1,ELA,61.46
301001532,1,2019,School2,11,1,Math,65.52
